group,net_name,port_suggested,fpga_ball,pinfunction,pintype,direction,connects_to
FPGA,/FPGA/SDRAM1.DQ4,SDRAM1_DQ[4],P21,IO,bidirectional,inout,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.DQ5,SDRAM1_DQ[5],P22,IO,bidirectional,inout,SDRAM U35 (direct)
FPGA,/FPGA/VDAC.VSYNC,VDAC_VSYNC,R1,IO,bidirectional,out,THS7316 video buffer U21
FPGA,/FPGA/VDAC.HSYNC,VDAC_HSYNC,R2,IO,bidirectional,out,THS7316 video buffer U21
AtariInterfaces,/AtariInterfaces/CONSOL.SELECT,CONSOL_SELECT,R5,IO,bidirectional,inout,Edge conn via U31
AtariInterfaces,/AtariInterfaces/CONSOL.OPTION,CONSOL_OPTION,R6,IO,bidirectional,inout,Edge conn via U31
AtariInterfaces,/AtariInterfaces/CONSOL.RESET,CONSOL_RESET,R7,IO,bidirectional,inout,Edge conn via U31
FPGA,/FPGA/SRAM2.A16,SRAM2_A[16],R15,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SDRAM1.CLK,SDRAM1_CLK,R16,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.A7,SDRAM1_A[7],R17,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.A5,SDRAM1_A[5],R18,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.A6,SDRAM1_A[6],R19,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.DQ6,SDRAM1_DQ[6],R20,IO,bidirectional,inout,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.DQ7,SDRAM1_DQ[7],R21,IO,bidirectional,inout,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.LDQM,SDRAM1_LDQM,R22,IO,bidirectional,out,SDRAM U35 (direct)
Misc,Net-(U30J-CLK3),PLL1[0],T1,CLK3,input,in,Si5351 via series R
Misc,Net-(U30J-CLK2),PLL1[1],T2,CLK2,input,in,Si5351 via series R
AtariInterfaces,/AtariInterfaces/CONSOL.START,CONSOL_START,T3,IO,bidirectional,inout,Edge conn via U31
FPGA,/FPGA/SRAM1.OE_N,SRAM1_OE_N,T4,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A0,SRAM1_A[0],T5,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D1,SRAM1_D[1],T7,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.W_N,SRAM1_W_N,T8,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A6,SRAM1_A[6],T9,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A14,SRAM1_A[14],T11,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM2.LB_N,SRAM2_LB_N,T12,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D0,SRAM2_D[0],T14,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D3,SRAM2_D[3],T15,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A15,SRAM2_A[15],T16,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SDRAM1.A4,SDRAM1_A[4],T17,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.WE_N,SDRAM1_WE_N,T18,IO,bidirectional,out,SDRAM U35 (direct)
Misc,Net-(U30J-CLK6),PLL2[2],T21,CLK6,input,in,Si5351 via series R
FPGA,/FPGA/SRAM1.D3,SRAM1_D[3],U7,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D9,SRAM1_D[9],U8,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A17,SRAM1_A[17],U9,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A7,SRAM1_A[7],U10,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D14,SRAM1_D[14],U11,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM2.A5,SRAM2_A[5],U12,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A6,SRAM2_A[6],U13,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D1,SRAM2_D[1],U14,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A17,SRAM2_A[17],U15,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A14,SRAM2_A[14],U16,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A20,SRAM2_A[20],U17,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SDRAM1.CAS_N,SDRAM1_CAS_N,U19,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.RAS_N,SDRAM1_RAS_N,U20,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.BA0,SDRAM1_BA[0],U21,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.CS_N,SDRAM1_CS_N,U22,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/HDMI.D0N,HDMI_D0N,V1,IO,bidirectional,out,HDMI connector via RN1/RN2
FPGA,/FPGA/HDMI.D0P,HDMI_D0P,V2,IO,bidirectional,out,HDMI connector via RN1/RN2
FPGA,/FPGA/SRAM1.D11,SRAM1_D[11],V3,IO,bidirectional,inout,SRAM U28 (direct)
