group,net_name,port_suggested,fpga_ball,pinfunction,pintype,direction,connects_to
Audio,/Audio/FPGAAUD.BCK,FPGAAUD_BCK,D2,DIFFIO_L8p,bidirectional,out,PCM5102A DAC U17
FPGA,/FPGA/FSMC.A4,FSMC_A[4],D6,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A1,FSMC_A[1],D7,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.NBL0,FSMC_NBL[0],D10,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.NWE,FSMC_NWE,D13,IO,bidirectional,in,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/PBI.A4,PBI_A[4],D15,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.A12,PBI_A[12],D17,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.D2,PBI_D[2],D19,IO,bidirectional,inout,Edge conn via U29/U33
AtariInterfaces,/AtariInterfaces/PBI.CAS,PBI_CAS,D20,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.RD4,PBI_RD[4],D21,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.S4_N,PBI_S4_N,D22,IO,bidirectional,inout,Edge conn via U33
FPGA,/FPGA/VDAC.R,VDAC_R,E1,DIFFIO_L10n,bidirectional,out,THS7316 video buffer U21
FPGA,/FPGA/SPI.CS2,SPI_CS[2],E2,"FLASH_nCE,nCSO",bidirectional,,Config pins (dedicated)
FPGA,/FPGA/FSMC.A6,FSMC_A[6],E5,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A5,FSMC_A[5],E6,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A2,FSMC_A[2],E7,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D10,FSMC_D[10],E9,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.NBL1,FSMC_NBL[1],E10,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A18,FSMC_A[18],E11,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D0,FSMC_D[0],E12,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.NOE,FSMC_NOE,E13,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D2,FSMC_D[2],E14,IO,bidirectional,inout,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/PBI.A5,PBI_A[5],E15,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.A7,PBI_A[7],E16,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.RDY,PBI_RDY,E21,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/SIO.DATA_IN,SIO_DATA_IN,E22,IO,bidirectional,inout,Edge conn via U31 + ESP32
FPGA,/FPGA/FSMC.A3,FSMC_A[3],F7,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A22,FSMC_A[22],F8,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A20,FSMC_A[20],F9,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A19,FSMC_A[19],F10,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A17,FSMC_A[17],F11,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.NWAIT,FSMC_NWAIT,F13,IO,bidirectional,out,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D3,FSMC_D[3],F14,IO,bidirectional,inout,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/PBI.A8,PBI_A[8],F15,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.A6,PBI_A[6],F16,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.RW_N,PBI_RW_N,F17,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.IRQ,PBI_IRQ,F19,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/SIO.COMMAND,SIO_COMMAND,F20,IO,bidirectional,inout,Edge conn via U31 + ESP32
AtariInterfaces,/AtariInterfaces/SIO.CLOCK_IN,SIO_CLOCK_IN,F21,IO,bidirectional,inout,Edge conn via U31 + ESP32
AtariInterfaces,/AtariInterfaces/SIO.CLOCK_OUT,SIO_CLOCK_OUT,F22,IO,bidirectional,inout,Edge conn via U31 + ESP32
FPGA,/FPGA/VDAC.G,VDAC_G,G2,CLK0,bidirectional,out,THS7316 video buffer U21
Audio,/Audio/FPGAAUD.LR,FPGAAUD_LR,G5,IO,bidirectional,out,PCM5102A DAC U17
FPGA,/FPGA/FSMC.A0,FSMC_A[0],G8,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A21,FSMC_A[21],G9,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A16,FSMC_A[16],G11,IO,bidirectional,in,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/PBI.A11,PBI_A[11],G16,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.RST,PBI_RST,G17,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.D1XX,PBI_D1XX,G18,IO,bidirectional,inout,Edge conn via U29/U33
Misc,Net-(U30J-CLK4),PLL2[0],G21,CLK4,input,in,Si5351 via series R
Misc,Net-(U30J-CLK5),PLL2[1],G22,CLK5,input,in,Si5351 via series R
FPGA,/FPGA/FSMC.NE1,FSMC_NE[1],H11,IO,bidirectional,in,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/PBI.A2,PBI_A[2],H14,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.RD5,PBI_RD[5],H16,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.REF,PBI_REF,H17,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.RAS,PBI_RAS,H18,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.CCTL,PBI_CCTL,H19,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/SIO.MOTOR,SIO_MOTOR,H20,IO,bidirectional,inout,Edge conn via U31 + ESP32
ESP32,/ESP32/ESP.CS,ESP_CS,H21,IO,bidirectional,out,ESP32 U34 (direct)
ESP32,/ESP32/ESP.MISO,ESP_MISO,H22,IO,bidirectional,in,ESP32 U34 (direct)
FPGA,/FPGA/VDAC.B,VDAC_B,J3,IO,bidirectional,out,THS7316 video buffer U21
Audio,/Audio/FPGAAUD.DATA,FPGAAUD_DATA,J4,IO,bidirectional,out,PCM5102A DAC U17
AtariInterfaces,/AtariInterfaces/PBI.S5_N,PBI_S5_N,J17,IO,bidirectional,inout,Edge conn via U33
