Designator,MidX,MidY,Layer,Rotation
R39,50.32,-51.145,top,90
R40,117.38,-52.01,top,-90
R41,88.955,-52.365,top,90
R42,237.875,-53.05,top,0
R43,85.995,-53.71,top,180
R44,237.875,-54.9,top,0
R45,15.32,-55.14,top,180
R46,118.165,-56.53,top,180
R47,114.725,-57.03,top,0
R48,86.08,-58.4,top,180
R49,241.125,-59.4,top,0
R50,86.105,-59.95,top,0
R51,81.405,-61.66,top,180
R52,112.6,-63.065,top,-90
R53,46.46,-66.095,top,-90
R54,48.3,-66.095,top,-90
R55,63.59,-66.475,top,90
R56,66.65,-66.485,top,90
R57,65.13,-66.49,top,90
R58,236.79,-67.26,top,0
R59,236.855,-69.26,top,0
R60,27.725,-72.02,top,180
R61,15.1,-73.22,top,0
R62,27.66,-73.55,top,0
R63,240.325,-73.8,top,0
R64,69.69,-75.125,top,-90
R65,71.26,-75.175,top,-90
R66,27.625,-75.25,top,180
R67,48.725,-76.4,top,0
R68,105.715,-76.735,top,-90
R69,107.285,-76.735,top,-90
R70,63.175,-76.93,top,0
R71,66.765,-76.95,top,180
R72,48.725,-77.94,top,0
R73,68.235,-78.45,top,180
R74,66,-80.72,top,90
R75,67.49,-80.72,top,90
R76,64.49,-80.73,top,90
R77,38.595,-82.805,top,0
R78,41.67,-82.805,top,180
R79,65.49,-83.29,top,0
R80,237.315,-83.390002,top,0
R81,45.12,-83.425,top,-90
R82,28.005,-83.57,top,0
R83,237.365,-85.290002,top,0
R84,28.005,-85.7,top,180
R85,240.625,-90.4,top,0
R86,30.25,-92.735,top,90
R87,30.24,-96.075,top,-90
R88,167.865,-98.53,top,180
R89,30.3,-101.065,top,90
R90,129.4,-102.55,top,0
R91,167.945,-103.91,top,0
R92,129.42,-107.41,top,180
R93,59.945,-109.72,top,180
R94,129.435,-110.75,top,0
R95,153.51,-112.72,top,0
R96,162.784999,-112.74,top,0
R97,70.42,-115.25,top,0
R98,79.02,-118.215,top,90
R99,154.18,-118.69,top,180
R100,40,-121.25,top,90
R101,201.195,-121.32,top,0
R102,201.185,-122.9,top,0
R103,42.69,-123.04,top,0
R104,201.17,-124.46,top,0
R105,200.32,-126.885,top,90
R106,35.94,-127.23,top,180
R107,41.1,-127.59,top,0
R108,35.935,-128.75,top,180
R109,204.26,-129.675,top,90
R110,211.42,-129.785,top,90
RN1,34.37,-26.74,top,-90
RN2,38.47,-26.74,top,-90
RN3,224.6,-30.68,top,180
RN4,242.23,-31.34,top,0
RN5,242.26,-42.97,top,180
RN6,241.15,-56,top,180
RN7,115.6,-70.05,top,180
RN8,32.78,-70.1427,top,90
RN9,240.3,-70.25,top,180
RN10,115.62,-73.88,top,180
RN11,240.665,-86.66,top,180
RN12,228.79,-127.17,top,0
RN13,228.6,-145.01,top,0
SW1,17.19,-20.96,top,-90
U1,41.835,-25.94,top,0
U2,44.715,-25.94,top,180
U3,30.635,-26.19,top,180
U4,143.575,-28.499999,top,0
U5,211.505,-28.500001,top,0
U6,153.595,-28.980001,top,0
U7,164.235,-28.990001,top,0
U8,175.215,-29.050001,top,0
U9,186.195,-29.079999,top,0
U10,114.6575,-29.48,top,0
U11,65.315,-35.13,top,0
U12,187.14,-36.31,top,0
U13,242.025,-39.600001,top,0
U14,18.02,-44.0024,top,0
U15,18.375,-51.2826,top,0
U16,240.875,-52.349999,top,0
U17,71.1125,-52.845,top,0
U18,18.78,-57.2124,top,0
U19,100.0125,-63.14,top,-90
U20,240.325,-66.600001,top,0
U21,65.305,-72.235,top,0
U22,47.34,-72.48,top,-90
U23,21.375,-72.615,top,180
U24,112.5399,-75.1499,top,0
U25,240.725,-82.849999,top,0
U26,21.78,-82.975,top,180
U27,199.0494,-90.000001,top,0
U28,40.125,-90.224783,top,0
U29,94.7094,-94.750001,top,0
U30,61.36,-97.11,top,-90
U31,199.1006,-102.330001,top,0
U32,40.155,-104.874783,top,0
U33,94.71,-106.77,top,0
U34,141.7599,-113.9,top,180
U35,57.45,-118.11,top,-90
U36,214.225,-118.58,top,0
U37,207.3,-124.36,top,180
U38,214.185,-129.88,top,0
U39,222.315,-131.4,top,180
U40,222.325,-142.3,top,180
USB1,24.09,-20.79,top,180
USB2,112.23,-20.95,top,180
Y1,97.7,-49.12,top,0
Y2,104.97,-49.8,top,0
Y3,37.46,-79.8,top,0
Y4,43.37,-80.155,top,0
Y5,77.93,-121.475,top,0
Y6,31.66,-123.91,top,0
Y7,37.9275,-124.505,top,0
Y8,207.09,-133.23,top,0
